n,obs_mean,fc_mean,bias,mae,rmse,corr,model,obs,lead_day
47104,2.931582480811309,1.7530873611145295,-1.17849511969678,2.6633368217012476,6.012535446831529,0.41209424467061295,fourcastnet,CHIRPS,1
47104,2.931582480811309,2.742254527117023,-0.1893279536942863,2.8163761704722927,6.808621065025531,0.43166901534136926,gencast,CHIRPS,1
47104,2.931582480811309,2.791010380566861,-0.14057210024444866,3.1444610252145653,6.967999032049357,0.35852555174103584,graphcast,CHIRPS,1
47104,2.931582480811309,3.0065950248319995,0.07501254402068921,3.022278888156069,6.048051975208959,0.43017393691997435,neuralgcm,CHIRPS,1
47104,2.891030551278669,1.8612133335070262,-1.0298172177716431,2.6816682338912043,5.9630649241008555,0.3953926969671345,fourcastnet,CHIRPS,3
47104,2.891030551278669,2.764984847278585,-0.12604570400008394,2.6804003283432127,5.869256432323822,0.4865943858153414,gencast,CHIRPS,3
47104,2.891030551278669,2.506289657668039,-0.3847408936106305,3.0851398164595056,6.240060701327075,0.3008170203735473,graphcast,CHIRPS,3
47104,2.891030551278669,2.940215418120552,0.0491848668418827,2.9066229473380303,5.737185178145102,0.43876960461112285,neuralgcm,CHIRPS,3
47104,2.84046146884734,1.959769474169134,-0.8806919946782056,2.6825226530975685,5.919735898112947,0.3962602112246024,fourcastnet,CHIRPS,5
47104,2.84046146884734,2.869235603386545,0.028774134539205163,2.7416060996676173,5.84541430314217,0.46114708573833957,gencast,CHIRPS,5
47104,2.84046146884734,3.1200693068728826,0.27960783802554284,3.4953310050332753,6.444649122591773,0.24747210346419077,graphcast,CHIRPS,5
47104,2.84046146884734,2.7348422469302163,-0.10561922191712361,2.8392532241728423,5.651281918171023,0.4262183981548054,neuralgcm,CHIRPS,5
47104,2.846196972923723,1.8925584789251426,-0.9536384939985804,2.748539435671226,6.086911554375651,0.3445520015724334,fourcastnet,CHIRPS,7
47104,2.846196972923723,2.5794020484235975,-0.26679492450012526,2.6972475912333267,5.754604145452116,0.44208242189604846,gencast,CHIRPS,7
47104,2.846196972923723,3.7157462023586287,0.869549229434906,4.008679563442658,6.951016773539276,0.17336453142573466,graphcast,CHIRPS,7
47104,2.846196972923723,3.165136735817541,0.3189397628938182,3.0296394815094896,5.771330607770748,0.4163962302109272,neuralgcm,CHIRPS,7
64400,3.829424850762767,2.4885605541778206,-1.3408642965849467,2.585777882860393,6.782763979665235,0.6291243285888599,fourcastnet,ERA5,1
64400,3.829424850762767,3.7157695129290658,-0.11365533783370127,2.132016427498108,5.725291682183566,0.7753500225347794,gencast,ERA5,1
64400,3.829424850762767,3.8835228404210107,0.054097989658243556,3.2363490937994452,8.088069523249102,0.5417471425378626,graphcast,ERA5,1
64400,3.829424850762767,3.825015994493898,-0.004408856268867874,3.163553186263745,7.2412732767457175,0.5733435074150212,neuralgcm,ERA5,1
64400,3.7522359572240123,2.2726346668086768,-1.4796012904153355,2.73732627651265,7.393057780915065,0.5174813761610576,fourcastnet,ERA5,3
64400,3.7522359572240123,3.7483901635955803,-0.003845793628432251,2.5362465098975973,6.531507875605101,0.6574231905645184,gencast,ERA5,3
64400,3.7522359572240123,3.236479479015417,-0.5157564782085948,3.437833481315106,8.025904656334601,0.380869463360721,graphcast,ERA5,3
64400,3.7522359572240123,3.5833799060304785,-0.16885605119353414,3.140614890131362,7.473567622370536,0.49299266702778305,neuralgcm,ERA5,3
64400,3.7076096460666506,2.4020207880490747,-1.3055888580175752,2.762931075028132,7.3677538133218725,0.5095548168878082,fourcastnet,ERA5,5
64400,3.7076096460666506,3.7082263503666053,0.0006167042999549117,2.7011779049551854,6.888973669614757,0.5865778642046932,gencast,ERA5,5
64400,3.7076096460666506,3.85720668467022,0.14959703860357007,3.999673642586881,8.207051285200453,0.3265147678985224,graphcast,ERA5,5
64400,3.7076096460666506,3.5477942044634547,-0.1598154416031955,3.1437933354189935,7.420357626847663,0.4862891659311672,neuralgcm,ERA5,5
64400,3.695945297844884,2.3687995810601796,-1.3271457167847047,2.878407692111896,7.622056476284808,0.45936161738784087,fourcastnet,ERA5,7
64400,3.695945297844884,3.537439036904282,-0.15850626094060208,2.7804544079058324,7.0273839554757656,0.563503254915277,gencast,ERA5,7
64400,3.695945297844884,4.158112574706884,0.46216727686199977,4.533782187826859,8.687898419218653,0.21732379475333882,graphcast,ERA5,7
64400,3.695945297844884,3.781053397729642,0.0851080998847585,3.1882967489543685,7.194614866242454,0.5228455631092964,neuralgcm,ERA5,7
47656,2.910151980685376,1.8295954528468201,-1.0805565278385556,2.8630121863697164,6.46208751216282,0.36506269065769964,fourcastnet,TAMSAT,1
47656,2.910151980685376,2.8432178374158825,-0.06693414326949318,3.171671382050132,7.412810665779598,0.3855610401195197,gencast,TAMSAT,1
47656,2.910151980685376,2.896871397639466,-0.013280583045909797,3.4192560128256333,7.413459985543148,0.3372426294985461,graphcast,TAMSAT,1
47656,2.910151980685376,3.100153105295424,0.19000112461004826,3.331033690097607,6.601945750181213,0.3784940068587776,neuralgcm,TAMSAT,1
47656,2.8613464284911334,1.9067509843924555,-0.9545954440986786,2.847227854310878,6.431425711054214,0.33273084319309626,fourcastnet,TAMSAT,3
47656,2.8613464284911334,2.849818736418004,-0.01152769207313047,2.9644773421823873,6.446104152636249,0.4271705150799881,gencast,TAMSAT,3
47656,2.8613464284911334,2.593185368981342,-0.26816105950979185,3.254966134169126,6.584096541274221,0.28014478021454786,graphcast,TAMSAT,3
47656,2.8613464284911334,3.019653714757898,0.15830728626676427,3.181897987152051,6.346053533202849,0.36103738229938337,neuralgcm,TAMSAT,3
47656,2.8270604964315096,1.9983387447539513,-0.8287217516775581,2.8532451006587936,6.373617790155783,0.345134234194809,fourcastnet,TAMSAT,5
47656,2.8270604964315096,2.9406079194295884,0.11354742299807935,3.0000823277839066,6.399754061842887,0.4003442894597517,gencast,TAMSAT,5
47656,2.8270604964315096,3.212707650597197,0.38564715416568723,3.6658974363274974,6.777546672448375,0.24114337247562942,graphcast,TAMSAT,5
47656,2.8270604964315096,2.824804235088756,-0.00225626134275367,3.0813100033205107,6.140792440282771,0.3768824214448579,neuralgcm,TAMSAT,5
47656,2.829786595120962,1.9268957607958141,-0.9028908343251482,2.8929891442990003,6.542643934077038,0.2873509254421508,fourcastnet,TAMSAT,7
47656,2.829786595120962,2.6621165689534716,-0.16767002616749066,2.9206054958212433,6.23395006745806,0.39345874399872804,gencast,TAMSAT,7
47656,2.829786595120962,3.7776358103937273,0.9478492152727654,4.13336467724856,7.204184801798389,0.17683981543991983,graphcast,TAMSAT,7
47656,2.829786595120962,3.235038668201805,0.40525207308084277,3.2289286962673334,6.145711302854405,0.3911101328913314,neuralgcm,TAMSAT,7
